sig_key,width,toggles
RSA_tb.RSA.SEQ_BLK.Hlt,1,2
RSA_tb.RSA.SEQ_BLK.EnKey,1,2048
RSA_tb.RSA.SEQ_BLK.DSel[1:0],2,4 2
RSA_tb.RSA.SEQ_BLK.Cy_r,1,51918
RSA_tb.RSA.SEQ_BLK.Cy_mr,1,4
RSA_tb.RSA.SEQ_BLK.Cy_m,1,51918
RSA_tb.RSA.SEQ_BLK.Con_O[30:0],31,2 2 0 0 0 0 0 0 0 0 2 4 0 0 0 4 4 0 0 0 0 4 2 0 0 0 0 4 0 0 0
RSA_tb.RSA.SEQ_BLK.Con_MR[30:0],31,65538 1022 65536 2 65536 2 65536 2 65536 0 33926 0 0 65536 32896 65536 67584 65536 67584 2048 4 65536 2050 0 2048 0 65536 65536 0 0 67584
RSA_tb.RSA.SEQ_BLK.Con_MM[30:0],31,1562880 48100 1562140 48100 94720 0 1610980 0 71040 47360 23680 48100 0 0 23680 47360 1587300 1539940 119140 23680 1480 1539200 96200 0 23680 1572220 828800 1554280 876900 828800 759240
RSA_tb.RSA.SEQ_BLK.Con_IN[30:0],31,2 2 0 4 4 0 4 0 64 2 2 0 2 0 2 64 66 2 66 64 4 0 4 0 64 0 66 64 0 66 2
RSA_tb.RSA.SEQ_BLK.Con_C[30:0],31,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64 64 64 64 4 64 4 0 0 0 0 64 0 0 0
