sig_key,width,toggles
aes128_table_ecb_bench.dut.MixColumns0.mul4x8.c2[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns0.mul4x8.mx[3:0],4,0 0 0 0
aes128_table_ecb_bench.dut.MixColumns0.mul4x8.sc[7:0],8,9 5 6 7 5 6 7 6
aes128_table_ecb_bench.dut.MixColumns0.mul4x8.sxm0[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns0.mul4x8.sxm1[7:0],8,9 5 6 7 5 6 7 6
aes128_table_ecb_bench.dut.MixColumns0.mul4x8.sxm2[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns0.mul4x8.sxm3[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns0.mul4x8.temp[10:0],11,0 0 9 5 6 7 5 6 7 6 0
aes128_table_ecb_bench.dut.MixColumns1.m0c[7:0],8,8 5 6 5 6 5 7 6
aes128_table_ecb_bench.dut.MixColumns1.m1c[7:0],8,7 7 4 8 6 5 6 5
aes128_table_ecb_bench.dut.MixColumns1.m2c[7:0],8,7 6 6 3 5 7 5 5
aes128_table_ecb_bench.dut.MixColumns1.m3c[7:0],8,8 5 6 7 5 5 6 7
aes128_table_ecb_bench.dut.MixColumns1.s0c[7:0],8,9 2 6 8 5 5 8 5
aes128_table_ecb_bench.dut.MixColumns1.s1c[7:0],8,9 5 4 4 9 8 6 8
aes128_table_ecb_bench.dut.MixColumns1.s2c[7:0],8,5 1 7 4 4 7 3 6
aes128_table_ecb_bench.dut.MixColumns1.s3c[7:0],8,5 5 5 7 4 6 3 4
aes128_table_ecb_bench.dut.MixColumns1.mul4x8.c0[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns1.mul4x8.c1[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns1.mul4x8.c2[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns1.mul4x8.mx[3:0],4,0 0 0 0
aes128_table_ecb_bench.dut.MixColumns1.mul4x8.sc[7:0],8,5 5 5 7 4 6 3 4
aes128_table_ecb_bench.dut.MixColumns1.mul4x8.sxm0[7:0],8,5 5 5 7 4 6 3 4
aes128_table_ecb_bench.dut.MixColumns1.mul4x8.sxm1[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns1.mul4x8.sxm2[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns1.mul4x8.sxm3[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns1.mul4x8.temp[10:0],11,0 0 0 5 5 5 7 4 6 3 4
aes128_table_ecb_bench.dut.MixColumns2.m0c[7:0],8,7 5 7 3 6 5 5 7
aes128_table_ecb_bench.dut.MixColumns2.m1c[7:0],8,5 6 6 3 5 4 7 6
aes128_table_ecb_bench.dut.MixColumns2.m2c[7:0],8,4 3 10 8 6 7 4 4
aes128_table_ecb_bench.dut.MixColumns2.m3c[7:0],8,5 3 6 5 4 6 5 8
aes128_table_ecb_bench.dut.MixColumns2.s0c[7:0],8,7 8 5 5 6 9 6 5
aes128_table_ecb_bench.dut.MixColumns2.s1c[7:0],8,4 3 5 6 2 7 8 4
aes128_table_ecb_bench.dut.MixColumns2.s2c[7:0],8,3 3 5 4 5 8 5 5
aes128_table_ecb_bench.dut.MixColumns2.s3c[7:0],8,5 5 2 6 4 6 4 3
aes128_table_ecb_bench.dut.MixColumns2.mul4x8.c0[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns2.mul4x8.c1[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns2.mul4x8.c2[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns2.mul4x8.mx[3:0],4,0 0 0 0
aes128_table_ecb_bench.dut.MixColumns2.mul4x8.sc[7:0],8,3 3 5 4 5 8 5 5
aes128_table_ecb_bench.dut.MixColumns2.mul4x8.sxm0[7:0],8,3 3 5 4 5 8 5 5
aes128_table_ecb_bench.dut.MixColumns2.mul4x8.sxm1[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns2.mul4x8.sxm2[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns2.mul4x8.sxm3[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.MixColumns2.mul4x8.temp[10:0],11,0 0 0 3 3 5 4 5 8 5 5
aes128_table_ecb_bench.dut.MixColumns3.m0c[7:0],8,5 4 7 3 6 8 8 8
